Word	Tag	Length	Sentence#
.	O	1	26
#	O	1	26
Concerta	B-	8	26
Problems	O	8	26
#	O	1	26
ADDandPregnant	O	14	26
#	O	1	26
Thursday	O	8	26
Sooooo	O	6	27
..	O	2	27
my	O	2	27
Zofran	B-	6	27
pump	O	4	27
broke	O	5	27
for	O	3	27
the	O	3	27
night	O	5	27
.	O	1	27
Relying	O	7	27
on	O	2	27
dissolvables	O	12	27
until	O	5	27
my	O	2	27
new	O	3	27
pump	O	4	27
arrives	O	7	27
.	O	1	27
Here	O	4	27
's	O	2	27
to	O	2	27
hoping	O	6	27
this	O	4	27
goes	O	4	27
okay	O	4	27
.	O	1	27
In	O	2	28
quite	O	5	28
a	O	1	28
lot	O	3	28
of	O	2	28
pain	O	4	28
painkilers	B-	10	28
do	O	2	28
n't	O	3	28
touch	O	5	28
it	O	2	28
😞	O	1	28
I	O	1	29
really	O	6	29
really	O	6	29
want	O	4	29
to	O	2	29
cut	O	3	29
my	O	2	29
hair	O	4	29
.	O	1	29
These	O	5	29
prenatals	B-	9	29
r	O	1	29
keeping	O	7	29
it	O	2	29
growing	O	7	29
and	O	3	29
frankly	O	7	29
...	O	3	29
It	O	2	29
's	O	2	29
too	O	3	29
damn	O	4	29
hot	O	3	29
🔥	O	1	29
are	O	3	30
the	O	3	30
strawberry	O	10	30
gaviscon	B-	8	30
any	O	3	30
nicer	O	5	30
than	O	4	30
the	O	3	30
mint	O	4	30
ones	O	4	30
?	O	1	30
I	O	1	31
love	O	4	31
finding	O	7	31
out	O	3	31
via	O	3	31
google	O	6	31
that	O	4	31
I	O	1	31
'm	O	2	31
going	O	5	31
to	O	2	31
be	O	2	31
sick	O	4	31
for	O	3	31
the	O	3	31
next	O	4	31
week	O	4	31
while	O	5	31
I	O	1	31
'm	O	2	31
on	O	2	31
this	O	4	31
antibiotic	B-	10	31
🙃	O	1	31
@	O	1	32
_ccxvi_	O	7	32
yeah	O	4	32
I	O	1	32
kno	O	3	32
but	O	3	32
that	O	4	32
epidural	B-	8	32
will	O	4	32
have	O	4	32
yu	O	2	32
like	O	4	32
wtf	O	3	32
where	O	5	32
the	O	3	32
perks	O	5	32
at	O	2	32
I	O	1	33
'm	O	2	33
so	O	2	33
scared	O	6	33
my	O	2	33
epidural	B-	8	33
will	O	4	33
wear	O	4	33
off	O	3	33
right	O	5	33
before	O	6	33
I	O	1	33
have	O	4	33
to	O	2	33
push	O	4	33
🙈😣	O	2	33
Please	O	6	34
do	O	2	34
n't	O	3	34
tell	O	4	34
a	O	1	34
woman	O	5	34
with	O	4	34
HG	O	2	34
that	O	4	34
Zofran	B-	6	34
is	O	2	34
a	O	1	34
big	O	3	34
no	O	2	34
and	O	3	34
Diclegis	O	8	34
works	O	5	34
perfectly	O	9	34
if	O	2	34
you	O	3	34
take	O	4	34
it	O	2	34
consistently	O	12	34
.	O	1	34
Please	O	6	35
do	O	2	35
n't	O	3	35
tell	O	4	35
a	O	1	35
woman	O	5	35
with	O	4	35
HG	O	2	35
that	O	4	35
Zofran	O	6	35
is	O	2	35
a	O	1	35
big	O	3	35
no	O	2	35
and	O	3	35
Diclegis	B-	8	35
works	O	5	35
perfectly	O	9	35
if	O	2	35
you	O	3	35
take	O	4	35
it	O	2	35
consistently	O	12	35
.	O	1	35
@	O	1	36
rozinck	O	7	36
Awesome	O	7	36
news	O	4	36
!	O	1	36
Warfarin	B-	8	36
adjustment	O	10	36
can	O	3	36
be	O	2	36
a	O	1	36
pain	O	4	36
in	O	2	36
the	O	3	36
butt	O	4	36
for	O	3	36
the	O	3	36
first	O	5	36
few	O	3	36
weeks/months	O	12	36
but	O	3	36
hopefully	O	9	36
they	O	4	36
will	O	4	36
level	O	5	36
out	O	3	36
soon	O	4	36
.	O	1	36
@	O	1	37
ashbergh	O	8	37
Antibiotics	B-	11	37
make	O	4	37
me	O	2	37
even	O	4	37
more	O	4	37
hungry	O	6	37
.	O	1	37
Piggy	O	5	37
:	O	1	37
)	O	1	37
i	O	1	38
need	O	4	38
to	O	2	38
get	O	3	38
on	O	2	38
birth	B-	5	38
control	I-	7	38
faaaaaaaassssst	O	15	38
because	O	7	38
this	O	4	38
nigga	O	5	38
be	O	2	38
trying	O	6	38
it	O	2	38
😩	O	1	38
I	O	1	39
was	O	3	39
thinking	O	8	39
about	O	5	39
slipping	O	8	39
my	O	2	39
dog	O	3	39
a	O	1	39
little	O	6	39
ambien	B-	6	39
&	O	1	39
amp	O	3	39
;	O	1	39
just	O	4	39
pulling	O	7	39
her	O	3	39
teeth	O	5	39
myself	O	6	39
.	O	1	39
#	O	1	39
thingsmymothersays	O	18	39
#	O	1	39
fb	O	2	39
Benadryl	B-	8	40
,	O	1	40
bedtime	O	7	40
snack	O	5	40
,	O	1	40
and	O	3	40
New	O	3	40
Girl	O	4	40
.	O	1	40
The	O	3	40
party	O	5	40
is	O	2	40
getting	O	7	40
real	O	4	40
.	O	1	40
Taking	O	6	41
#	O	1	41
Zofran	B-	6	41
before	O	6	41
bed	O	3	41
helps	O	5	41
me	O	2	41
not	O	3	41
puke	O	4	41
in	O	2	41
the	O	3	41
morning	O	7	41
,	O	1	41
but	O	3	41
I	O	1	41
still	O	5	41
feel	O	4	41
nauseous	O	8	41
all	O	3	41
day	O	3	41
.	O	1	41
#	O	1	41
pregnant	O	8	41
@	O	1	42
frenchfries1970	O	15	42
Been	O	4	42
there	O	5	42
.	O	1	42
It	O	2	42
sucks	O	5	42
.	O	1	42
Do	O	2	42
you	O	3	42
have	O	4	42
any	O	3	42
Gaviscon	B-	8	42
?	O	1	42
?	O	1	42
I	O	1	43
hate	O	4	43
these	O	5	43
prenatal	B-	8	43
vitamins	I-	8	43
.	O	1	43
They	O	4	43
are	O	3	43
so	O	2	43
hard	O	4	43
to	O	2	43
swallow	O	7	43
😭😭	O	2	43
I	O	1	44
do	O	2	44
n't	O	3	44
have	O	4	44
my	O	2	44
nausea	B-	6	44
pills	I-	5	44
for	O	3	44
tonight	O	7	44
..	O	2	44
so	O	2	44
I	O	1	44
'm	O	2	44
probably	O	8	44
going	O	5	44
to	O	2	44
die	O	3	44
tomorrow	O	8	44
...	O	3	44
😳	O	1	44
@	O	1	45
yinyahya	O	8	45
because	O	7	45
i	O	1	45
support	O	7	45
weed	O	4	45
.	O	1	45
not	O	3	45
tobacco	O	7	45
.	O	1	45
not	O	3	45
cancer	O	6	45
.	O	1	45
not	O	3	45
nicotine	B-	8	45
.	O	1	45
weed	O	4	45
is	O	2	45
what	O	4	45
you	O	3	45
need	O	4	45
..	O	2	45
not	O	3	45
tobacco	O	7	45
.	O	1	45
Doling	O	6	46
out	O	3	46
tums	B-	4	46
one	O	3	46
by	O	2	46
one	O	3	46
to	O	2	46
pregnant	O	8	46
ladies	O	6	46
is	O	2	46
some	O	4	46
real	O	4	46
bullshit	O	8	46
,	O	1	46
Vanderbilt	O	10	46
@	O	1	47
jerryleewilson	O	14	47
I	O	1	47
do	O	2	47
n't	O	3	47
envy	O	4	47
you	O	3	47
.	O	1	47
Sinus	O	5	47
congestion/infections/inflammation	O	34	47
is	O	2	47
so	O	2	47
painful	O	7	47
.	O	1	47
Until	O	5	47
you	O	3	47
experience	O	10	47
it	O	2	47
you	O	3	47
do	O	2	47
n't	O	3	47
realize	O	7	47
#	O	1	47
Sudafed	B-	7	47
#	O	1	48
WellnessWednesday	O	17	48
:	O	1	48
5	O	1	48
Ways	O	4	48
to	O	2	48
Ease	O	4	48
a	O	1	48
Hangover	O	8	48
!	O	1	48
Shop	O	4	48
vitamin	B-	7	48
B	I-	1	48
→	O	1	48
http	O	4	48
:	O	1	48
//t.co/3vRMFbUc2A	O	17	48
#	O	1	48
health	O	6	48
#	O	1	48
hangover	O	8	48
#	O	1	48
HumpDay	O	7	48
http	O	4	48
:	O	1	48
//t.co/wsi3Vx42wb	O	17	48
#	O	1	49
HDSpecial	O	9	49
!	O	1	49
@	O	1	49
Cellucor	O	8	49
:	O	1	49
Buy	O	3	49
1	O	1	49
COR	B-	3	49
Creatine	I-	8	49
,	O	1	49
Get	O	3	49
1	O	1	49
50	O	2	49
%	O	1	49
OFF	O	3	49
!	O	1	49
Shop	O	4	49
Now	O	3	49
→	O	1	49
http	O	4	49
:	O	1	49
//t.co/z5r0UEokcr	O	17	49
Have	O	4	50
you	O	3	50
tried	O	5	50
Gotu	B-	4	50
Kola	I-	4	50
?	O	1	50
There	O	5	50
's	O	2	50
so	O	2	50
many	O	4	50
benefits	O	8	50
!	O	1	50
Shop	O	4	50
now	O	3	50
→	O	1	50
http	O	4	50
:	O	1	50
//t.co/LUX31OvS4G	O	17	50
#	O	1	50
health	O	6	50
#	O	1	50
droz	O	4	50
#	O	1	50
TipTuesday	O	10	50
http	O	4	50
:	O	1	50
//t.co/4UmbI1U0kk	O	17	50
@	O	1	51
smitten_kitten_	O	15	51
Hope	O	4	51
you	O	3	51
are	O	3	51
n't	O	3	51
too	O	3	51
swollen	O	7	51
tomorrow	O	8	51
!	O	1	51
!	O	1	51
!	O	1	51
I	O	1	51
've	O	3	51
as	O	2	51
much	O	4	51
as	O	2	51
possible	O	8	51
for	O	3	51
the	O	3	51
first	O	5	51
24	O	2	51
hours	O	5	51
!	O	1	51
!	O	1	51
And	O	3	51
do	O	2	51
n't	O	3	51
skip	O	4	51
the	O	3	51
Advil	B-	5	51
😉	O	1	51
My	O	2	52
man	O	3	52
cold	O	4	52
from	O	4	52
last	O	4	52
week	O	4	52
had	O	3	52
actually	O	8	52
progressed	O	10	52
to	O	2	52
a	O	1	52
full	O	4	52
fledged	O	7	52
ear	O	3	52
infection	O	9	52
.	O	1	52
Hoping	O	6	52
these	O	5	52
antibiotics	B-	11	52
kick	O	4	52
in	O	2	52
soon	O	4	52
.	O	1	52
Retweet	O	7	53
if	O	2	53
you	O	3	53
take	O	4	53
#	O	1	53
melatonin	B-	9	53
.	O	1	53
http	O	4	53
:	O	1	53
//t.co/EQ5Zjt7bjz	O	17	53
#	O	1	54
NowPlaying	O	10	54
Nicotine	B-	8	54
and	O	3	54
Alcohol	O	7	54
Saved	O	5	54
My	O	2	54
Life	O	4	54
by	O	2	54
Deaf	O	4	54
Havana	O	6	54
♫	O	1	54
https	O	5	54
:	O	1	54
//t.co/zFOY1Zc1dY	O	17	54
I	O	1	55
'm	O	2	55
on	O	2	55
day	O	3	55
5	O	1	55
of	O	2	55
Lupron	B-	6	55
and	O	3	55
the	O	3	55
only	O	4	55
significant	O	11	55
symptom	O	7	55
I	O	1	55
'm	O	2	55
feeling	O	7	55
is	O	2	55
that	O	4	55
my	O	2	55
bones	O	5	55
hurt	O	4	55
:	O	1	55
|	O	1	55
My	O	2	55
shoulder	O	8	55
and	O	3	55
hips	O	4	55
...	O	3	55
http	O	4	55
:	O	1	55
//t.co/SuarPZ2Tr8	O	17	55
Chewing	O	7	56
these	O	5	56
like	O	4	56
a	O	1	56
champ	O	5	56
to	O	2	56
get	O	3	56
through	O	7	56
this	O	4	56
game	O	4	56
.	O	1	56
#	O	1	56
stress	O	6	56
#	O	1	56
Gaviscon	B-	8	56
#	O	1	56
raptors	O	7	56
https	O	5	56
:	O	1	56
//t.co/87iJHFvumz	O	17	56
Bloody	O	6	57
toothache	O	9	57
keeping	O	7	57
me	O	2	57
awake	O	5	57
painkillers	B-	11	57
are	O	3	57
n't	O	3	57
working	O	7	57
swirling	O	8	57
brandy	O	6	57
is	O	2	57
n't	O	3	57
working	O	7	57
.	O	1	57
I	O	1	57
need	O	4	57
sleep	O	5	57
.	O	1	57
After	O	5	58
17.5	O	4	58
weeks	O	5	58
,	O	1	58
I	O	1	58
said	O	4	58
goodbye	O	7	58
to	O	2	58
my	O	2	58
Zofran	B-	6	58
pump	O	4	58
yesterday	O	9	58
.	O	1	58
I	O	1	58
think	O	5	58
I	O	1	58
'm	O	2	58
gon	O	3	58
na	O	2	58
miss	O	4	58
that	O	4	58
guy	O	3	58
for	O	3	58
the	O	3	58
rest	O	4	58
of	O	2	58
this	O	4	58
pregnancy	O	9	58
.	O	1	58
#	O	1	58
hglife	O	6	58
@	O	1	59
___princessBRE	O	14	59
I	O	1	59
do	O	2	59
n't	O	3	59
want	O	4	59
an	O	2	59
epidural	B-	8	59
😂😂😭	O	3	59
I	O	1	59
swear	O	5	59
I	O	1	59
'm	O	2	59
sooo	O	4	59
serious	O	7	59
.	O	1	59
I	O	1	59
already	O	7	59
made	O	4	59
my	O	2	59
birth	O	5	59
plan	O	4	59
,	O	1	59
I	O	1	59
do	O	2	59
n't	O	3	59
want	O	4	59
them	O	4	59
asking	O	6	59
me	O	2	59
about	O	5	59
an	O	2	59
@	O	1	60
shyne____	O	9	60
Yeah	O	4	60
,	O	1	60
I	O	1	60
got	O	3	60
percs	B-	5	60
.	O	1	60
Ion	O	3	60
even	O	4	60
take	O	4	60
them	O	4	60
things	O	6	60
thou	O	4	60
ion	O	3	60
like	O	4	60
the	O	3	60
feeling	O	7	60
..	O	2	60
I	O	1	60
took	O	4	60
one	O	3	60
and	O	3	60
felt	O	4	60
like	O	4	60
I	O	1	60
was	O	3	60
on	O	2	60
cloud	O	5	60
1000	O	4	60
..	O	2	60
😂😂	O	2	60
I	O	1	61
had	O	3	61
my	O	2	61
eye	O	3	61
removed	O	7	61
today	O	5	61
!	O	1	61
Feels	O	5	61
much	O	4	61
better	O	6	61
...	O	3	61
had	O	3	61
som	O	3	61
tea	O	3	61
and	O	3	61
am	O	2	61
now	O	3	61
sleeping	O	8	61
off	O	3	61
my	O	2	61
anaesthetic	B-	11	61
:	O	1	61
)	O	1	61
…	O	1	61
http	O	4	61
:	O	1	61
//t.co/CboYqSarxZ	O	17	61
This	O	4	62
heartburn	O	9	62
is	O	2	62
real	O	4	62
.	O	1	62
Nexium	B-	6	62
Gaviscon	O	8	62
and	O	3	62
Tums	O	4	62
ca	O	2	62
n't	O	3	62
even	O	4	62
fight	O	5	62
it	O	2	62
.	O	1	62
Damn	O	4	62
wings	O	5	62
.	O	1	62
They	O	4	62
get	O	3	62
me	O	2	62
every	O	5	62
time	O	4	62
!	O	1	62
This	O	4	63
heartburn	O	9	63
is	O	2	63
real	O	4	63
.	O	1	63
Nexium	O	6	63
Gaviscon	B-	8	63
and	O	3	63
Tums	O	4	63
ca	O	2	63
n't	O	3	63
even	O	4	63
fight	O	5	63
it	O	2	63
.	O	1	63
Damn	O	4	63
wings	O	5	63
.	O	1	63
They	O	4	63
get	O	3	63
me	O	2	63
every	O	5	63
time	O	4	63
!	O	1	63
This	O	4	64
heartburn	O	9	64
is	O	2	64
real	O	4	64
.	O	1	64
Nexium	O	6	64
Gaviscon	O	8	64
and	O	3	64
Tums	B-	4	64
ca	O	2	64
n't	O	3	64
even	O	4	64
fight	O	5	64
it	O	2	64
.	O	1	64
Damn	O	4	64
wings	O	5	64
.	O	1	64
They	O	4	64
get	O	3	64
me	O	2	64
every	O	5	64
time	O	4	64
!	O	1	64
I	O	1	65
really	O	6	65
do	O	2	65
n't	O	3	65
want	O	4	65
to	O	2	65
get	O	3	65
out	O	3	65
but	O	3	65
I	O	1	65
do	O	2	65
n't	O	3	65
think	O	5	65
I	O	1	65
'll	O	3	65
ever	O	4	65
get	O	3	65
back	O	4	65
to	O	2	65
sleep	O	5	65
if	O	2	65
I	O	1	65
do	O	2	65
n't	O	3	65
go	O	2	65
buy	O	3	65
some	O	4	65
tums	B-	4	65
.	O	1	65
😭🤰🏻	O	3	65
Thank	O	5	66
you	O	3	66
tylenol	B-	7	66
for	O	3	66
doing	O	5	66
absolutely	O	10	66
nothing	O	7	66
for	O	3	66
my	O	2	66
contractions😒	O	13	66
I	O	1	67
've	O	3	67
been	O	4	67
so	O	2	67
dead	O	4	67
set	O	3	67
against	O	7	67
getting	O	7	67
the	O	3	67
epidural	B-	8	67
..	O	2	67
but	O	3	67
FUUUUUUUCK	O	10	67
this	O	4	67
hurts	O	5	67
worse	O	5	67
than	O	4	67
being	O	5	67
hit	O	3	67
by	O	2	67
a	O	1	67
car	O	3	67
.	O	1	67
@	O	1	68
MommyDanika	O	11	68
I	O	1	68
've	O	3	68
done	O	4	68
the	O	3	68
bath	O	4	68
tub	O	3	68
,	O	1	68
heating	O	7	68
pad	O	3	68
,	O	1	68
and	O	3	68
Tylenol	B-	7	68
.	O	1	68
They	O	4	68
wo	O	2	68
n't	O	3	68
go	O	2	68
away	O	4	68
.	O	1	68
It	O	2	68
's	O	2	68
miserable	O	9	68
.	O	1	68
I	O	1	68
was	O	3	68
up	O	2	68
all	O	3	68
night	O	5	68
crying	O	6	68
.	O	1	68
I	O	1	69
'm	O	2	69
going	O	5	69
to	O	2	69
be	O	2	69
so	O	2	69
drained	O	7	69
today	O	5	69
I	O	1	69
forgot	O	6	69
to	O	2	69
take	O	4	69
my	O	2	69
iron	B-	4	69
pill	I-	4	69
☹️	O	2	69
.	O	1	69
Jeremiah	O	8	70
does	O	4	70
a	O	1	70
review	O	6	70
on	O	2	70
Melatonin	B-	9	70
!	O	1	70
Coming	O	6	70
soon	O	4	70
on	O	2	70
our	O	3	70
youtube	O	7	70
channel	O	7	70
:	O	1	70
)	O	1	70
http	O	4	70
:	O	1	70
//t.co/r32GY9eJzc	O	17	70
The	O	3	71
ambien	B-	6	71
kicked	O	6	71
in	O	2	71
and	O	3	71
Karen	O	5	71
is	O	2	71
here	O	4	71
talkin	O	6	71
my	O	2	71
head	O	4	71
off	O	3	71
I	O	1	71
'm	O	2	71
about	O	5	71
to	O	2	71
throw	O	5	71
my	O	2	71
remote	O	6	71
at	O	2	71
her	O	3	71
forehead	O	8	71
I	O	1	72
'm	O	2	72
so	O	2	72
scared	O	6	72
that	O	4	72
my	O	2	72
epidural	B-	8	72
is	O	2	72
not	O	3	72
gon	O	3	72
na	O	2	72
work	O	4	72
😭😭	O	2	72
I	O	1	72
'm	O	2	72
in	O	2	72
full	O	4	72
panic	O	5	72
mode	O	4	72
.	O	1	72
@	O	1	73
JazzyPooh_14	O	12	73
I	O	1	73
even	O	4	73
drink	O	5	73
it	O	2	73
to	O	2	73
take	O	4	73
my	O	2	73
prenatal	B-	8	73
pills	I-	5	73
,	O	1	73
I	O	1	73
'm	O	2	73
a	O	1	73
weirdo😂	O	7	73
@	O	1	74
